ID_Cliente,Edad,Ingresos_Mensuales,Tipo_Empleo,Años_Empleo,Puntuacion_Crediticia,Deuda_Actual,Monto_Prestamo_Solicitado,Ratio_Deuda_Ingresos,Apto_Prestamo
1,39,2646226.9797339076,Formal,1.8006868796389461,756,217701.6518210881,422789.2722898739,0.08226869935510188,1
2,33,2087096.7123481056,Formal,4.143784966406359,710,383755.4643064144,491020.87891340506,0.18387047520891694,1
3,41,1354283.2003024358,Formal,8.143228290865643,850,490138.2915999595,382424.5758448147,0.3619171318750043,0
4,50,951218.7109403785,Formal,0.7375633156735949,502,73151.81185795213,675051.6990150735,0.07690325160407532,0
5,32,1863709.3625727228,Autónomo,4.3458322076818146,775,332605.67808964406,978409.9715249065,0.1784643489854581,1
6,32,1600313.9338313232,Autónomo,3.521129218640965,764,373642.4549311697,233241.994219808,0.23348072339570874,1
7,50,2056599.18174885,Formal,0.7778847340567875,552,275436.16620958265,684153.1312451237,0.13392797617247065,0
8,42,1805871.00524028,Desempleado,4.890810538759516,750,825945.3151243249,485474.4292637978,0.45736672925563077,0
9,30,2221612.9443728495,Informal,1.598550472856222,683,449386.32577166526,590021.9262339475,0.20227930653263493,0
10,40,1005856.6033870054,Formal,3.345535548474945,627,836955.7613126937,701316.6551109733,0.8320825836351081,0
11,30,2539974.7975332164,Formal,0.4292729095505401,567,287569.4842324138,507431.27546738327,0.11321745574471714,0
12,30,1451005.737812646,Informal,3.0770808575299577,578,644755.4672205698,529360.183649616,0.44435073578173595,0
13,37,2787500.0,Informal,1.8297568147735686,850,1050670.0219002566,500959.32970537763,0.37692198095076473,0
14,18,931334.4925847675,Informal,8.640578305722409,650,837835.9302810542,905620.7355609006,0.899607967869607,0
15,18,2787500.0,Formal,0.2933321887280849,728,155732.18423149295,687349.2160644329,0.05586804815479568,0
16,29,1451231.5164671282,Formal,2.711644018475361,570,280076.7367067199,622506.62584066,0.1929924574602249,0
17,24,949089.7839155397,Formal,3.0664278999475174,572,262702.33516694774,295298.4804014072,0.2767939763118616,0
18,38,1032016.0393102355,Formal,6.455031385964184,758,471121.0437606361,461357.22373789345,0.45650554430870804,0
19,25,1119949.3620571084,Formal,4.269956097824136,515,540818.8436118035,873752.4377273174,0.4828958004122923,0
20,20,1625052.4612942927,Formal,5.501253208091015,608,185937.76254585377,568107.5730127408,0.11441954458366309,0
21,49,1707234.602538288,Autónomo,7.504022719200143,653,350767.5801454524,775283.0884910636,0.2054595072194161,0
22,32,986696.4094868982,Autónomo,9.909867500789174,661,81344.05462186348,1348459.897444647,0.08244081344550956,0
23,35,1298590.999058388,Formal,1.8834808803283205,632,917817.3297592974,937077.0767611029,0.7067793711990992,0
24,20,2787500.0,Autónomo,3.861197674587034,689,233685.20014243055,584082.1683638276,0.08383325565647733,0
25,29,2787500.0,Formal,9.16628591119818,719,347839.66382204974,431802.3317935288,0.12478552962226,1
26,36,1634961.0162128303,Formal,22.758683126428632,723,269315.10275645903,155506.5270453153,0.16472264481283574,1
27,23,1339717.6261688275,Formal,11.014572669368903,551,746097.420438472,512484.2824222302,0.5569064748159481,0
28,38,1395807.065126537,Informal,2.3218358210038934,621,45896.2020938679,473644.12824675103,0.032881479998603656,0
29,28,1786424.4573311463,Desempleado,1.085599383242565,769,330633.21194341267,677659.9412458126,0.18508099269832365,1
30,32,788250.6494321943,Informal,3.3607707946998784,739,310617.9651903442,516208.0541055524,0.3940598912466405,0
31,28,1155772.390949016,Formal,6.7670346863203505,512,243493.7824849907,474978.70602839947,0.21067624074758834,0
32,53,570732.3541476006,Informal,3.3919733866756934,685,1119900.8812771805,229009.39709935273,1.9622172689855184,0
33,34,1604911.6161328314,Formal,3.300311490037453,452,179739.08263436766,348444.36939828674,0.111993134592336,0
34,24,1816760.72843059,Autónomo,9.107911543049326,654,574152.0195251039,707535.6548070319,0.31603062007019794,0
35,43,1032376.9838494348,Informal,2.242414582282474,839,429238.9821030226,1314769.0724687148,0.41577736506921603,0
36,22,2787500.0,Formal,9.823236611522212,555,808920.2683105541,530966.9676340462,0.29019561194997456,0
37,37,712179.2058941568,Informal,2.611158810307507,566,209684.60487684165,656792.4350100781,0.2944267441978708,0
38,18,632085.686467429,Informal,1.9892194104343908,726,200248.4108690004,897579.397661562,0.3168057988911905,0
39,21,1470618.4626651255,Formal,3.025589128758565,495,720457.0590206255,371673.4087641393,0.4899007304144534,0
40,36,2218888.2390820775,Informal,7.186821742735029,586,450501.675120225,669726.5702457166,0.20303035871089709,0
41,42,2787500.0,Formal,0.6733861176990653,709,113429.41360512162,384990.03474293015,0.0406921663157387,1
42,36,1044998.0239923456,Informal,1.0933877928111206,586,229321.13775194422,859090.8875194486,0.2194464797893474,0
43,33,2254205.409687152,Autónomo,15.125272562192738,626,438388.1640735434,601342.1220981083,0.19447569515609703,0
44,31,1289433.3923959222,Autónomo,0.964839911254856,724,601286.6853242267,647221.3868059944,0.46631853096883413,0
45,20,1205800.2759949442,Informal,4.193493406866942,692,207924.5809438991,376969.09374262614,0.17243699896513454,0
46,27,2044773.6416249762,Informal,4.329348380491145,676,43495.508796043156,793916.8105409632,0.021271551975541602,0
47,30,1821423.9132960276,Formal,3.3630423765726603,616,482457.6329586693,1581009.6864061044,0.2648793778520342,0
48,45,597656.5909797479,Informal,5.174600686113209,687,142367.5931105408,336805.8513621021,0.23820969309006587,0
49,38,2750347.5920386077,Formal,1.3056987900925896,637,81491.58153663429,470399.81321647274,0.029629557286695987,0
50,18,2620860.7726802714,Formal,4.022207082914743,695,46062.94045771112,625947.3364085505,0.017575500743064656,0
51,38,961438.9362391387,Formal,2.3274551736404088,600,591359.1204670452,826058.5124524197,0.6150771496526499,0
52,31,1602169.891504763,Formal,5.418627143872415,631,366013.088924882,421445.03292326804,0.22844836297673862,0
53,28,1682822.1228066727,Informal,0.7612331381052285,551,285624.3291879784,135225.9872144481,0.169729364332104,0
54,41,1497495.4443686244,Formal,4.230063296187814,646,884439.3431074285,1099990.9708298647,0.5906123764405352,0
55,45,998305.985475425,Informal,1.024494725853495,568,522572.7233947366,815429.9850444816,0.5234594713422166,0
56,44,939549.7028307081,Formal,1.6331060305257064,538,1036958.2110321551,233221.52153195313,1.1036757373324384,0
57,26,1297812.4164135852,Formal,1.2340431183475278,675,126181.5886299189,411446.1329612295,0.09722636879882302,0
58,31,2362739.2274668766,Informal,1.0095882398980869,671,326507.0178938544,1221156.5959494412,0.13819003557320492,0
59,38,1725052.0142726428,Formal,8.73520080051758,728,107871.1562342355,1149820.0289706904,0.06253211807049117,1
60,44,1092151.888725755,Formal,1.6823141569534437,606,284880.3442206929,891390.4212108421,0.26084315484091775,0
61,30,1933450.9848340168,Informal,13.094964595202686,690,281070.57150032464,510507.9887491896,0.14537248355662558,0
62,33,316379.073586839,Formal,17.52055868226091,705,518669.2649764782,581119.382134749,1.6393918191119394,0
63,23,2334598.612974083,Autónomo,4.2345285023925685,694,345340.7450315617,522173.33950171724,0.14792296333613705,0
64,23,550791.0488410667,Formal,0.7715933519011431,567,517506.3917982547,980029.2272738197,0.9395693573582086,0
65,43,1096624.313255327,Formal,2.3464053987741575,664,547326.2024043471,359797.47369845834,0.4991009188731284,0
66,48,750978.8264828013,Informal,7.990815151086437,686,1511846.3840635202,372621.31993415067,2.0131677894891276,0
67,34,688056.9887956427,Formal,2.289511561743342,650,268252.6394205508,923896.2638257854,0.3898697982707701,0
68,45,2348720.0486415145,Formal,0.45519128802100783,441,173108.91953958815,545270.3766440958,0.07370351338368883,0
69,38,1040401.322021239,Formal,4.068500491944789,666,397380.9571166428,1110644.9716074222,0.3819496849010449,0
70,28,1563159.4581396594,Formal,9.325550766240665,850,190764.72463824452,398499.5622933128,0.12203791727382478,1
71,38,1284021.3546713477,Autónomo,7.9463725144594495,613,943889.7956871979,542437.7450518362,0.7351044375183244,0
72,50,1668587.6324806863,Formal,0.9626058227600851,577,274344.40024487756,351516.2747077989,0.1644171363280514,0
73,34,1365974.4701282752,Informal,5.585377667199042,687,225142.4745565694,559556.129781856,0.16482187586963234,0
74,50,692090.19922266,Autónomo,1.245540299742289,681,240498.98634674854,266184.3289675126,0.3474965930985174,0
75,18,2163204.1723627723,Formal,1.2308298155587216,769,553094.6122779229,436874.42326802685,0.25568303692471256,0
76,43,1026935.2018422157,Autónomo,10.36021581868679,524,299529.82382315653,271873.1428356312,0.29167353819971403,0
77,35,603605.8722668192,Formal,1.4362038674606603,723,213464.4067118466,788730.0496685596,0.3536486580393743,0
78,32,1061199.1533416945,Desempleado,1.5275152788324524,709,1073181.866671941,797719.6127302309,1.0112916725315066,0
79,35,2783856.0118416697,Formal,0.0032680215703518455,635,183702.57161298644,234705.40643195267,0.06598853203311236,0
80,18,2010871.071279835,Informal,10.22690266644361,683,342932.3273659839,1086161.6909270966,0.1705391918278092,0
81,32,1104211.0065673064,Formal,7.865404874322916,752,528081.7945851964,1943352.9142016848,0.47824355258589574,0
82,38,1103876.7186982809,Formal,4.935295559612935,737,106772.7028191847,570472.9175247224,0.09672520582288732,1
83,49,1119228.4906677038,Informal,6.9367899115989875,535,468164.2662307475,404602.6090667816,0.41829194854703206,0
84,29,2787500.0,Informal,0.8246595886831491,732,159822.12958143096,2230000.0,0.057335293123383306,1
85,26,1591098.8084529312,Formal,3.0654324691254775,643,595013.9354240273,288293.26814059285,0.37396416379858616,0
86,29,1629833.6420669716,Formal,2.1633032924217135,657,170507.82178190205,563132.9448522979,0.10461670282229682,0
87,44,2200311.3057095255,Informal,0.49234671797103785,657,543253.0328243353,609886.9667883973,0.24689825999378515,0
88,38,1481198.719338705,Informal,3.3289295402065058,634,725397.6780895569,1092295.0515765178,0.48973690607389764,0
89,29,1154810.2595382628,Desempleado,12.675086398529636,769,611333.3842958827,667361.5752711262,0.5293799386059465,0
90,40,1191582.4353896468,Informal,0.20441789380499487,641,398839.28183911706,434478.1064157901,0.3347139652228063,0
91,35,1268273.461271079,Desempleado,1.722750267019295,538,284497.99882012815,346495.66860740463,0.22431912951564942,0
92,44,1290262.914991577,Informal,1.1630721454153987,610,223440.05686481026,469914.8900053444,0.17317405179104053,0
93,27,1891314.1364597997,Formal,1.3600060034847197,667,936698.2230116926,336971.6569675951,0.49526316382588004,0
94,31,1349089.700165456,Formal,11.953506411923291,772,204995.95053406333,570991.9795451452,0.15195131243602414,1
95,31,1896058.3231993928,Informal,3.156207996288356,710,161853.34186426524,420466.33359101263,0.08536306076869792,1
96,20,1262506.2540760965,Informal,3.1396014783062025,564,532932.6916405268,264130.581219151,0.42212281318996514,0
97,37,1367213.4919678334,Formal,7.147588734519326,850,191586.82829783743,1044230.3621699869,0.14012941608854818,1
98,37,484013.14364978904,Formal,0.8390894505614923,676,172016.84900411376,434687.00424005545,0.3553970615487618,0
99,35,2078446.964784628,Desempleado,3.339984135452396,777,121767.54958977812,295714.3932485923,0.05858583435271627,1
100,32,1563147.417299468,Informal,2.8104648917574453,634,238555.02391203807,512516.5156185516,0.15261198097628667,0
